Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
56279770,"Take Your Turn, Teddy",Haley Newlin,"Newlin, Haley",,"=""1636765556""","=""9781636765556""",0,3.78,New Degree Press ,Paperback,382,2020,,,2025/05/01,"currently-reading, indie-darlings","currently-reading (#1), indie-darlings (#11)",currently-reading,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",5,4.34,Scholastic Press,Hardcover,374,2008,2008,2025/05/01,2025/05/01,classics,classics (#6),read,The blueprint. ,,,1,0
160047094,"Dungeons and Drama (Dungeons and Drama, #1)",Kristy Boyce,"Boyce, Kristy",,"=""0593647017""","=""9780593647011""",4,4.13,Delacorte Press,Paperback,304,2024,2024,2025/04/29,2025/04/27,"couldnot-put-down, reader-suggested","couldnot-put-down (#47), reader-suggested (#13)",read,"I needed this cute easy read after the week I had. I'm a little too old for high school romances, but this one won me over easily. There's just a few moments of contemporary comments in the beginning that made me cringe.",,,1,0
221608550,Thorns of Winter,Moriah Chavis,"Chavis, Moriah",,"=""""","=""9798330574872""",0,4.24,Twenty Hills Publishing,Kindle Edition,38,2025,,,2025/04/25,indie-darlings,indie-darlings (#10),read,,,,1,0
216912389,The Button Collector,M.M. Cochran,"Cochran, M.M.",,"=""1952961254""","=""9781952961250""",3.5,4.06,IngramElliott,Kindle Edition,314,2024,,2025/04/22,2025/04/18,indie-darlings,indie-darlings (#9),read,"3.5 ⭐<br/><br/>I don't get to read a lot of main characters who are terrible and I still find myself wanting to read about them. With the mystery, light romance, and bittersweet ending, this would make a great early 2000's movie",,,1,0
214331246,"Sunrise on the Reaping (The Hunger Games, #0.5)",Suzanne Collins,"Collins, Suzanne",,"=""1546171460""","=""9781546171461""",5,4.62,Scholastic Press,Hardcover,387,2025,2025,2025/04/15,2025/04/11,couldnot-put-down,couldnot-put-down (#46),read,"It's Suzanne Collins, are you really that surprised?<br/><br/>I thoroughly enjoyed the conflict here. It's explicit, but the way Haymitch must constantly confront complicit compliance always left me with goosebumps. He's damned if he does and he's damned if he doesn't, and that adds to the overall hopelessness and tension threaded throughout this story. I won't say anymore because I want you to read it!",,,1,0
127306192,Anita de Monte Laughs Last,Xóchitl González,"González, Xóchitl",,"=""1250786215""","=""9781250786210""",3,3.80,Flatiron Books,Hardcover,342,2024,2024,2025/04/04,2025/03/31,,,read,I had to drop a star after finding out that this was a robbed historical fiction ,,,1,0
176822897,The Hedgewitch of Foxhall,Anna  Bright,"Bright, Anna",,"=""0063083574""","=""9780063083578""",5,3.74,HarperCollins,Hardcover,392,2024,2024,2025/03/29,2025/02/05,couldnot-put-down,couldnot-put-down (#45),read,"Obsessed. Enthralled. I want to stare at this cover for the rest of my life.<br/><br/><i>The Hedgewitch of Foxhall</i> was full of Welsh magic; I think I was teleported into a Cartoon Saloon movie (yes I know they do Irish folklore but it has the VIBES). Ffion has my whole heart; she is a wild, fiery redhead who does not stop once she's started. The romance is swoony (and not spicy for those who are worried); I usually don't like love triangles but I was sat for this one. And the way the author reveals small facets of this world and its characters is masterful. <spoiler>The way I gasped over who the court magician was;</spoiler> something almost irrelevant in the beginning becomes drastically important later. I want to learn how to write like this, truly.",,,1,0
73071451,"Throne of the Fallen (Prince of Sin, #1)",Kerri Maniscalco,"Maniscalco, Kerri",,"=""031655751X""","=""9780316557511""",3,4.00,"Little, Brown and Company",Kindle Edition,612,2023,2023,2025/03/25,2025/03/12,,,read,"Returning to the <i>Kingdom of the Wicked</i> world was a fun time! I didn't realize how adult these books already were until I started reading other, more explicitly adult works, so I wouldn't say this is her first adult novel but you do you Little, Brown and Company.<br/><br/>The Prince of Envy was my favorite character in her original series, so he's just even more enjoyable here. I love the game at play and the conflict between characters here--seriously, the opposing forces at work are excellent. And I loved reading the princes interact. We didn't get so much of that in the original trilogy. However, I still found myself force reading this book here and there despite enjoying the story. Hopefully that's not everyone's experience; I found this book to be really long and the stakes suffering because of it.",,,1,0
42771754,"Supernova (Renegades, #3)",Marissa Meyer,"Meyer, Marissa",,"=""1250078385""","=""9781250078384""",2.5,4.38,Feiwel & Friends,Hardcover,549,2019,2019,2025/03/21,2025/03/11,,,read,"2.5 ⭐<br/><br/>I might be being a little harsh with this one; this is my first Marissa Meyer disappointment! An excellent start--honestly had me at the edge of my seat as Nova's secret identity begins crumbling--and then...well the second half happened. At first, I was excited that the Mirror Walker was returning from her disappearance in the first novel, but the execution was incredibly sloppy, difficult to believe, and difficult to finish. And the epilogue?? Did I not understand the themes of this story or did the ending just throw those themes out the window?",,,1,0
117562172,"The Sea Witch: A Little Mermaid Retelling (Beloved Villains, #1)",Rebecca F. Kenney,"Kenney, Rebecca F.",,"=""""","=""""",3.5,4.09,,Kindle Edition,431,2023,2022,2025/03/10,2025/03/10,"couldnot-put-down, indie-darlings","couldnot-put-down (#44), indie-darlings (#8)",read,3.5 ⭐<br/><br/>Don't judge me too harshly; I will be reading another.,,,1,0
35425827,"Archenemies (Renegades, #2)",Marissa Meyer,"Meyer, Marissa",,"=""1250311446""","=""9781250311443""",4,4.24,Feiwel & Friends,ebook,560,2018,2018,2025/03/10,2025/03/02,,,read,"An absolute nail-biter. Marissa Meyer puts in the work to make me believe Nova and Aiden are falling in love with each other while simultaneously tearing me up at the seams as they try to outmaneuver each other. The dread, action, and conflict are all here making a terribly delicious concoction; the ending really pulls everything together with a menace. A part of me laughed out loud that home girl added a gala scene (the contemporary version of a ballroom scene and also the finale of her <i>Instant Karma</i> book), but I get it--they're hard to resist. And there are a couple of slow moments that could have prolonged my reading if I wasn't listening to the audiobook. Nevertheless, this is a superhero/villain story still worth your time, and my jaw is already dropped going into <i>Supernova</i>.",,,1,0
53138095,"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,"Maas, Sarah J.",,"=""168119628X""","=""9781681196282""",5,4.46,Bloomsbury Publishing,Hardcover,757,2021,2021,2025/03/06,2025/01/06,books-that-made-me-cry,books-that-made-me-cry (#11),read,"It's difficult to talk about this book without being extremely personal, which tells you already how SJM pours her heart into this story. So many home-hitting lines about mental illness, self-worth, and relationships. Nesta's journey is palpable and resonated with me in ways I didn't expect; I became encouraged to keep my fitness goals and forgave a friend who I didn't realize still hurt my feelings. That's crazy. Very few books alter my chemistry like this. I can't believe I got sucked into acotar and am happy for it.",,,1,0
28421168,"Renegades (Renegades, #1)",Marissa Meyer,"Meyer, Marissa",,"=""1250044669""","=""9781250044662""",3.5,4.12,Feiwel & Friends,Hardcover,552,2017,2017,2025/02/27,2025/02/19,,,read,"3.5 ⭐<br/><br/>This book taught me that sometimes Prologues should be left on the cutting room floor. The slow exposition dump at the beginning really dragged out the excitement the rest of <i>Renegades</i> carries, and I laughed out loud at the naming convention of Ace Anarchy. Obviously I got used to it, but I imagine most people don't want their reader to immediately not take the central villain seriously.<br/><br/>Meyer draws from superhero comics in a fun and engaging way after the fact: everyone has unique abilities, backstories, and their relationships to each other directly relate to a world built organically. I love the subtle use of powers--I'm still thinking about the lady who can touch objects and see their history--and the in/out of characters never made me feel like anyone was forgotten within such a huge ensemble cast. Honey Harper has a special place in my heart; she ate up every scene and I hope we see more of her in the coming books.<br/><br/>Now Meyer is known for her romance, and she does disappoint to some extent here. I enjoyed the POV shifts in this book, which is unique from what I've read of hers before. Both Aiden and Nova have secrets they're trying to keep from each other, and I like how we as the reader are privy to both so we can watch how they try to circumnavigate each other while also in forced proximity. There are cute moments and returning banter, but it was never truly enough to make me see them as potential romantic partners right up until the end of an amusement park scene. I think I just need mcs to stop saying how attractive a person is right out the gate; it's becoming a lazy subtle nod that these two will be romantically interested in each other before they ever have any real chemistry. Nevertheless, I'm excited to see how their relationship pans out in <i>Archenemies</i> because THAT ENDING--",,,1,0
